"","popsize","genotype","media","mat","sd.ls","medianLS","AvgLS","weibAIC","weibLogLik","weibScale","weibShape","LLogisAIC","LLogisLogLik","LLogisScale","LLogisShape"
"2911","120","BY4742","YPD","MATalpha","10.0157299253911","15","17.0666666666667","884.297345315791","-440.148672657895","19.0377201586736","1.7016060123004","910.878824045012","-453.439412022506","14.7286228235979","2.28904087348077"
"2912","439","BY4742","YPD","MATalpha","14.3120615835129","28","30.3348519362187","3555.04211575091","-1775.52105787545","34.2234593217182","2.22891628259924","3585.52212409849","-1790.76106204925","27.6448896968951","3.37358677017524"
"2913","499","BY4742","YPD","MATalpha","15.6008764167615","29","31.1422845691383","4112.51193463317","-2054.25596731658","35.141806346631","2.09040990008535","4147.63356955473","-2071.81678477737","28.1601483534501","3.1720662797435"
"2914","80","BY4742","YPD","MATalpha","15.4446695159105","30","30.7625","673.129016506194","-334.564508253097","34.2550351617873","1.9595796261459","698.55821382301","-347.279106911505","28.3085718313904","2.50823908035939"
"2915","220","BY4742","YPD","MATalpha","17.3802461312615","34","35.9318181818182","1878.63303229926","-937.316516149628","40.3865082531045","2.13862005257516","1920.7460868529","-958.37304342645","32.8523504938616","2.9573025940338"
"2916","317","BY4742","YPD","MATalpha","9.94880478285885","21","22.6119873817035","2360.6868957308","-1178.3434478654","25.3929063968906","2.37994113392452","2418.57481322234","-1207.28740661117","21.2112494758851","3.35075099109805"
"2917","157","BY4742","YPD","MATalpha","10.7363699203137","21","22.2101910828025","1189.16494328438","-592.582471642188","24.9572291829927","2.13533582974308","1213.93073936232","-604.965369681159","20.4563550399788","3.07861959177899"
"2918","778","BY4742","YPD","MATalpha","11.5582777986005","28","29.512853470437","6003.11527525522","-2999.55763762761","33.1550105823036","2.74732943428717","6080.04581611845","-3038.02290805923","27.8106565010894","4.0180107423374"
"2919","188","BY4742","YPD","MATalpha","11.0992520087181","23","25.2712765957447","1440.64922578979","-718.324612894897","28.3780200158054","2.36965925747156","1462.84425752421","-729.422128762107","23.4999094522197","3.51066899610181"
"2920","315","BY4742","YPD","MATalpha","14.1958533576825","25","29.0063492063492","2534.15062808532","-1265.07531404266","32.7847522161871","2.15729640981192","2535.23915818245","-1265.61957909122","26.0596039925239","3.42389254203677"
"2921","90","BY4742","YPD","MATalpha","9.50382668181625","26.5","26.9444444444444","671.834854739569","-333.917427369785","29.9022864841757","3.00383247099957","690.056617165236","-343.028308582618","26.0414206042192","4.21992498100864"
